acl 2.2.53-1
libxau 1.0.9-1
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfixes 5.0.3-2
libxfont2 2.0.4-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.8.4-1
libxkbcommon-x11 0.8.4-1
libxkbfile 1.1.0-1
libxml2 2.9.9-3
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.12-2
libxxf86vm 1.1.4-2
libyaml 0.2.2-1
libzmf 0.0.2-6
licenses 20191011-1
linux 5.3.6.arch1-1
linux-api-headers 5.3.1-1
linux-firmware 20190923.417a9c6-1
llvm-libs 9.0.0-3
lm_sensors 3.5.0-1
lmdb 0.9.24-1
lpsolve 5.5.2.5-3
lua52 5.2.4-4
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
luajit 2.0.5-2
lvm2 2.02.186-2
lxappearance 0.6.3-2
lz4 1:1.9.2-1
lzo 2.10-2
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.7-1
man-pages 5.03-1
mdadm 4.1-1
mesa 19.2.1-1
metis 5.1.0.p6-1
minizip 1:1.2.11-3
mkinitcpio 26-1
mkinitcpio-busybox 1.30.1-1
mobile-broadband-provider-info 20190618-1
mozilla-common 1.4-5
mpfr 4.0.2-1
mpv 1:0.29.1-11
mtdev 1.1.5-2
mujs 1.0.6-1
mypaint-brushes1 1.3.0-1
nano 4.5-1
nautilus 3.34.1-1
nautilus-sendto 3.8.6+14+ge8a3604-1
ncurses 6.1-6
ndctl 66-1
neofetch 6.1.0-1
neon 0.30.2-3
nettle 3.5.1-1
network-manager-applet 1.8.24-1
networkmanager 1.20.4-1
nm-connection-editor 1.8.24-1
npth 1.6-1
nspr 4.22-1
nss 3.46.1-1
ntfs-3g 2017.3.23-3
opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.1-1
openresolv 3.9.2-1
openssh 8.1p1-1
openssl 1.1.1.d-1
openssl-1.0 1.0.2.s-1
opus 1.3.1-1
orc 0.4.30-1
osinfo-db 20190920-1
p11-kit 0.23.18.1-1
pacman 5.1.3-1
pacman-mirrorlist 20191001-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.44.6+2-1
pangomm 2.42.0-1
parted 3.3-1
patch 2.7.6-7
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
perl 5.30.0-3
perl-error 0.17028-1
perl-mailtools 2.21-2
perl-timedate 2.30-6
pinentry 1.1.0-4
pixman 0.38.4-1
pkgconf 1.6.3-2
playerctl 2.0.2-2
polkit 0.116-3
polybar 3.4.0-4
poppler 0.80.0-2
poppler-data 0.4.9-1
poppler-glib 0.80.0-2
popt 1.16-10
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 13.0-2
pygobject-devel 3.34.0-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
python 3.7.4-2
python-appdirs 1.4.3-2
python-babel 2.7.0-1
python-chardet 3.0.4-2
python-docutils 0.14-2
python-gobject 3.34.0-1
python-idna 2.8-1
python-imagesize 1.1.0-1
python-jinja 2.10.3-1
python-markupsafe 1.1.1-1
python-packaging 19.2-2
python-pygments 2.4.2-1
python-pyparsing 2.4.2-1
python-pytz 2019.3-1
python-requests 2.22.0-1
python-setuptools 1:41.2.0-1
python-six 1.12.0-1
python-snowballstemmer 2.0.0-1
python-sphinx 2.2.0-1
python-sphinx-alabaster-theme 0.7.12-1
python-sphinxcontrib-applehelp 1.0.1-2
python-sphinxcontrib-devhelp 1.0.1-2
python-sphinxcontrib-htmlhelp 1.0.2-2
